COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,AstraZeneca - AZD1222,Gamaleya - Sputnik V,Moderna - mRNA-1273,CanSino - Ad5-nCOV,Bharat - Covaxin,Beijing CNBG - Inactivated,QazVac, Sinopharm/HayatVax,AstraZeneca - Vaxzevria, ZF2001,Wuhan CNBG - Inactivated,,VACCINES_USED,,,,,,,,
French Guiana,GUF,AMRO,REPORTING,17-09-21,139674,75993,46.763,25.443,63681,21.321,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
French Polynesia,PYF,WPRO,REPORTING,09-09-21,235567,147213,83.859,52.406,124635,44.369,18-01-21,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,,,,,,,
Gabon,GAB,AFRO,REPORTING,16-09-21,171339,100263,7.698,4.505,71076,3.193,23-03-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,,,,,,,,
Gambia,GMB,AFRO,REPORTING,02-09-21,198322,198482,8.206,8.213,20547,0.85,10-03-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Georgia,GEO,EURO,OWID,16-09-21,1610309,935094,40.367,23.441,675215,16.926,,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Sinovac - CoronaVac,,,,,
Germany,DEU,EURO,OWID,17-09-21,105407388,55773989,126.742,67.063,52341392,62.936,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Ghana,GHA,AFRO,REPORTING,20-09-21,1623582,865422,5.225,2.785,758160,2.44,02-03-21,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,Gamaleya - Sputnik V,SII - Covishield,,,,,,,
Gibraltar,GIB,EURO,OWID,17-09-21,79269,39837,235.282,118.242,39432,117.04,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
Greece,GRC,EURO,OWID,18-09-21,11879410,6362673,110.83,59.361,5939715,55.415,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Greenland,GRL,EURO,OWID,17-09-21,76772,40922,135.229,72.081,35850,63.147,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273,,,,,,,,
Grenada,GRD,AMRO,REPORTING,17-09-21,51610,30783,45.866,27.357,20827,18.509,15-02-21,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,
Guadeloupe,GLP,AMRO,REPORTING,17-09-21,201607,121444,50.386,30.352,79601,19.894,08-01-21,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Guam,GUM,WPRO,REPORTING,14-09-21,220574,122191,130.691,72.399,107124,63.471,04-01-21,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Guatemala,GTM,AMRO,REPORTING,17-09-21,5862778,3963266,32.724,22.122,1899512,10.603,25-02-21,5,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,
